SUBJECTID,age,emotion,ACTOR,presentNumber,meanAmpNC
01,youngerAgeGroup,B,1,1,-42.099
01,youngerAgeGroup,B,1,2,-32.515
01,youngerAgeGroup,B,1,3,-25.039
01,youngerAgeGroup,B,1,4,-23.421
01,youngerAgeGroup,B,1,5,-31.518
01,youngerAgeGroup,B,1,6,-27.285
01,youngerAgeGroup,B,1,7,-23.171
01,youngerAgeGroup,B,1,8,-23.954
01,youngerAgeGroup,B,1,9,-21.762
01,youngerAgeGroup,B,1,10,-18.369
01,youngerAgeGroup,B,2,1,-23.552
01,youngerAgeGroup,B,2,2,-27.547
01,youngerAgeGroup,B,2,3,-21.092
01,youngerAgeGroup,B,2,4,-29.454
01,youngerAgeGroup,B,2,5,-16.238
01,youngerAgeGroup,B,2,6,-18.771
01,youngerAgeGroup,B,2,7,-23.676
01,youngerAgeGroup,B,2,8,-17.154
01,youngerAgeGroup,B,2,9,-10.365
01,youngerAgeGroup,B,2,10,-14.739
01,youngerAgeGroup,B,3,1,-27.318
01,youngerAgeGroup,B,3,2,-22.229
01,youngerAgeGroup,B,3,3,-18.145
01,youngerAgeGroup,B,3,4,-27.115
01,youngerAgeGroup,B,3,5,-14.398
01,youngerAgeGroup,B,3,6,-3.477
01,youngerAgeGroup,B,3,7,-3.764
01,youngerAgeGroup,B,3,8,-4.246
01,youngerAgeGroup,B,3,9,-3.689
01,youngerAgeGroup,B,3,10,-3.423
01,youngerAgeGroup,B,4,1,-25.549
01,youngerAgeGroup,B,4,2,-9.322
01,youngerAgeGroup,B,4,3,-12.096
01,youngerAgeGroup,B,4,4,-34.722
01,youngerAgeGroup,B,4,5,-21.98
01,youngerAgeGroup,B,4,6,-10.935
01,youngerAgeGroup,B,4,7,-21.649
01,youngerAgeGroup,B,4,8,-8.262
01,youngerAgeGroup,B,4,9,-7.871
01,youngerAgeGroup,B,4,10,4.144
01,youngerAgeGroup,B,5,1,-13.296
01,youngerAgeGroup,B,5,2,-11.543
01,youngerAgeGroup,B,5,3,-11.953
01,youngerAgeGroup,B,5,4,-12.172
01,youngerAgeGroup,B,5,5,-13.407
01,youngerAgeGroup,B,5,6,-4.938
01,youngerAgeGroup,B,5,7,-2.495
01,youngerAgeGroup,B,5,8,-13.026
01,youngerAgeGroup,B,5,9,-2.976
01,youngerAgeGroup,B,5,10,-0.297
01,youngerAgeGroup,A,1,1,-37.41
01,youngerAgeGroup,A,1,2,-28.465
01,youngerAgeGroup,A,1,3,-30.928
01,youngerAgeGroup,A,1,4,-40.141
01,youngerAgeGroup,A,1,5,-31.176
01,youngerAgeGroup,A,1,6,-18.541
01,youngerAgeGroup,A,1,7,-18.96
01,youngerAgeGroup,A,1,8,-16.207
01,youngerAgeGroup,A,1,9,-16.772
01,youngerAgeGroup,A,1,10,-17.78
01,youngerAgeGroup,A,2,1,-17.609
01,youngerAgeGroup,A,2,2,-16.97
01,youngerAgeGroup,A,2,3,-30.682
01,youngerAgeGroup,A,2,4,-19.453
01,youngerAgeGroup,A,2,5,-17.965
01,youngerAgeGroup,A,2,6,-19.338
01,youngerAgeGroup,A,2,7,-16.359
01,youngerAgeGroup,A,2,8,-6.898
01,youngerAgeGroup,A,2,9,4.9
01,youngerAgeGroup,A,2,10,-19.176
01,youngerAgeGroup,A,3,1,-12.345
01,youngerAgeGroup,A,3,2,-27.72
01,youngerAgeGroup,A,3,3,-15.766
01,youngerAgeGroup,A,3,4,-19.443
01,youngerAgeGroup,A,3,5,-9.708
01,youngerAgeGroup,A,3,6,-12.811
01,youngerAgeGroup,A,3,7,-6.526
01,youngerAgeGroup,A,3,8,-1.174
01,youngerAgeGroup,A,3,9,-12.771
01,youngerAgeGroup,A,3,10,-7.274
01,youngerAgeGroup,A,4,1,-23.338
01,youngerAgeGroup,A,4,2,-20.843
01,youngerAgeGroup,A,4,3,-20.852
01,youngerAgeGroup,A,4,4,-13.684
01,youngerAgeGroup,A,4,5,-19.508
01,youngerAgeGroup,A,4,6,-14.268
01,youngerAgeGroup,A,4,7,-10.566
01,youngerAgeGroup,A,4,8,-10.067
01,youngerAgeGroup,A,4,9,-8.053
01,youngerAgeGroup,A,4,10,-5.622
01,youngerAgeGroup,A,5,1,-15.128
01,youngerAgeGroup,A,5,2,-19.129
01,youngerAgeGroup,A,5,3,-12.293
01,youngerAgeGroup,A,5,4,-17.048
01,youngerAgeGroup,A,5,5,-2.847
01,youngerAgeGroup,A,5,6,-13.859
01,youngerAgeGroup,A,5,7,-4.553
01,youngerAgeGroup,A,5,8,-13.531
01,youngerAgeGroup,A,5,9,7.133
01,youngerAgeGroup,A,5,10,3.321
02,olderAgeGroup,B,1,1,-36.431
02,olderAgeGroup,B,1,2,-24.532
02,olderAgeGroup,B,1,3,-30.015
02,olderAgeGroup,B,1,4,-12.075
02,olderAgeGroup,B,1,5,-19.965
02,olderAgeGroup,B,1,6,-12.679
02,olderAgeGroup,B,1,7,-21.127
02,olderAgeGroup,B,1,8,-11.946
02,olderAgeGroup,B,1,9,-14.847
02,olderAgeGroup,B,1,10,-21.707
02,olderAgeGroup,B,2,1,-29.282
02,olderAgeGroup,B,2,2,-12.065
02,olderAgeGroup,B,2,3,-16.458
02,olderAgeGroup,B,2,4,-11.036
02,olderAgeGroup,B,2,5,-18.953
02,olderAgeGroup,B,2,6,-18.385
02,olderAgeGroup,B,2,7,-17.37
02,olderAgeGroup,B,2,8,-14.01
02,olderAgeGroup,B,2,9,-4.086
02,olderAgeGroup,B,2,10,-9.572
02,olderAgeGroup,B,3,1,-16.555
02,olderAgeGroup,B,3,2,-7.664
02,olderAgeGroup,B,3,3,-13.49
02,olderAgeGroup,B,3,4,-18.04
02,olderAgeGroup,B,3,5,-14.624
02,olderAgeGroup,B,3,6,-8.295
02,olderAgeGroup,B,3,7,-3.174
02,olderAgeGroup,B,3,8,-16.539
02,olderAgeGroup,B,3,9,-2.168
02,olderAgeGroup,B,3,10,-0.526
02,olderAgeGroup,B,4,1,-17.77
02,olderAgeGroup,B,4,2,-17.36
02,olderAgeGroup,B,4,3,-13.717
02,olderAgeGroup,B,4,4,-13.433
02,olderAgeGroup,B,4,5,-9.974
02,olderAgeGroup,B,4,6,-4.035
02,olderAgeGroup,B,4,7,-11.465
02,olderAgeGroup,B,4,8,-10.296
02,olderAgeGroup,B,4,9,2.14
02,olderAgeGroup,B,4,10,-7.128
02,olderAgeGroup,B,5,1,-12.152
02,olderAgeGroup,B,5,2,-11.81
02,olderAgeGroup,B,5,3,-13.1
02,olderAgeGroup,B,5,4,-3.24
02,olderAgeGroup,B,5,5,-10.856
02,olderAgeGroup,B,5,6,-4.785
02,olderAgeGroup,B,5,7,2.749
02,olderAgeGroup,B,5,8,-1.311
02,olderAgeGroup,B,5,9,4.848
02,olderAgeGroup,B,5,10,-4.846
02,olderAgeGroup,A,1,1,-21.987
02,olderAgeGroup,A,1,2,-33.997
02,olderAgeGroup,A,1,3,-30.101
02,olderAgeGroup,A,1,4,-22.263
02,olderAgeGroup,A,1,5,-20.969
02,olderAgeGroup,A,1,6,-27.691
02,olderAgeGroup,A,1,7,-28.938
02,olderAgeGroup,A,1,8,-20.288
02,olderAgeGroup,A,1,9,0.188
02,olderAgeGroup,A,1,10,-17.205
02,olderAgeGroup,A,2,1,-13.5
02,olderAgeGroup,A,2,2,-22.808
02,olderAgeGroup,A,2,3,-16.155
02,olderAgeGroup,A,2,4,-19.231
02,olderAgeGroup,A,2,5,-16.093
02,olderAgeGroup,A,2,6,-3.279
02,olderAgeGroup,A,2,7,-14.53
02,olderAgeGroup,A,2,8,-16.019
02,olderAgeGroup,A,2,9,-11.542
02,olderAgeGroup,A,2,10,0.515
02,olderAgeGroup,A,3,1,-10.269
02,olderAgeGroup,A,3,2,-13.068
02,olderAgeGroup,A,3,3,-10.077
02,olderAgeGroup,A,3,4,2.15
02,olderAgeGroup,A,3,5,3.074
02,olderAgeGroup,A,3,6,-9.155
02,olderAgeGroup,A,3,7,-0.441
02,olderAgeGroup,A,3,8,-1.63
02,olderAgeGroup,A,3,9,-7.201
02,olderAgeGroup,A,3,10,3.123
02,olderAgeGroup,A,4,1,-19.803
02,olderAgeGroup,A,4,2,-8.876
02,olderAgeGroup,A,4,3,-13.398
02,olderAgeGroup,A,4,4,-11.405
02,olderAgeGroup,A,4,5,-3.749
02,olderAgeGroup,A,4,6,-15.71
02,olderAgeGroup,A,4,7,-15.447
02,olderAgeGroup,A,4,8,-10.255
02,olderAgeGroup,A,4,9,4.016
02,olderAgeGroup,A,4,10,0.687
02,olderAgeGroup,A,5,1,-16.639
02,olderAgeGroup,A,5,2,-10.713
02,olderAgeGroup,A,5,3,-11.521
02,olderAgeGroup,A,5,4,6.398
02,olderAgeGroup,A,5,5,0.838
02,olderAgeGroup,A,5,6,-10.37
02,olderAgeGroup,A,5,7,13.07
02,olderAgeGroup,A,5,8,-11.559
02,olderAgeGroup,A,5,9,1.228
02,olderAgeGroup,A,5,10,18.706
03,youngerAgeGroup,B,1,1,-17.445
03,youngerAgeGroup,B,1,2,-24.051
03,youngerAgeGroup,B,1,3,-12.081
03,youngerAgeGroup,B,1,4,-15.843
03,youngerAgeGroup,B,1,5,1.059
03,youngerAgeGroup,B,1,6,-6.729
03,youngerAgeGroup,B,1,7,-12.275
03,youngerAgeGroup,B,1,8,-11.528
03,youngerAgeGroup,B,1,9,-17.448
03,youngerAgeGroup,B,1,10,-8.769
03,youngerAgeGroup,B,2,1,-21.868
03,youngerAgeGroup,B,2,2,-19.486
03,youngerAgeGroup,B,2,3,-2.075
03,youngerAgeGroup,B,2,4,-4.154
03,youngerAgeGroup,B,2,5,-11.65
03,youngerAgeGroup,B,2,6,2.523
03,youngerAgeGroup,B,2,7,-2.634
03,youngerAgeGroup,B,2,8,-3.155
03,youngerAgeGroup,B,2,9,0.939
03,youngerAgeGroup,B,2,10,-11.907
03,youngerAgeGroup,B,3,1,-0.024
03,youngerAgeGroup,B,3,2,-8.73
03,youngerAgeGroup,B,3,3,-2.465
03,youngerAgeGroup,B,3,4,-4.242
03,youngerAgeGroup,B,3,5,1.099
03,youngerAgeGroup,B,3,6,1.606
03,youngerAgeGroup,B,3,7,5.593
03,youngerAgeGroup,B,3,8,10.504
03,youngerAgeGroup,B,3,9,13.423
03,youngerAgeGroup,B,3,10,0.169
03,youngerAgeGroup,B,4,1,-10.725
03,youngerAgeGroup,B,4,2,-6.983
03,youngerAgeGroup,B,4,3,-7.741
03,youngerAgeGroup,B,4,4,0.205
03,youngerAgeGroup,B,4,5,3.966
03,youngerAgeGroup,B,4,6,10.892
03,youngerAgeGroup,B,4,7,-7.347
03,youngerAgeGroup,B,4,8,9.312
03,youngerAgeGroup,B,4,9,-5.272
03,youngerAgeGroup,B,4,10,13.414
03,youngerAgeGroup,B,5,1,-4.366
03,youngerAgeGroup,B,5,2,17.586
03,youngerAgeGroup,B,5,3,4.71
03,youngerAgeGroup,B,5,4,14.712
03,youngerAgeGroup,B,5,5,10.184
03,youngerAgeGroup,B,5,6,11.367
03,youngerAgeGroup,B,5,7,7.621
03,youngerAgeGroup,B,5,8,19.827
03,youngerAgeGroup,B,5,9,10.161
03,youngerAgeGroup,B,5,10,6.979
03,youngerAgeGroup,A,1,1,-18.472
03,youngerAgeGroup,A,1,2,-3.04
03,youngerAgeGroup,A,1,3,-15.327
03,youngerAgeGroup,A,1,4,-8.239
03,youngerAgeGroup,A,1,5,-18.147
03,youngerAgeGroup,A,1,6,2.53
03,youngerAgeGroup,A,1,7,1.374
03,youngerAgeGroup,A,1,8,-7.83
03,youngerAgeGroup,A,1,9,-18.219
03,youngerAgeGroup,A,1,10,3.211
03,youngerAgeGroup,A,2,1,-2.016
03,youngerAgeGroup,A,2,2,-7.485
03,youngerAgeGroup,A,2,3,-3.588
03,youngerAgeGroup,A,2,4,-7.994
03,youngerAgeGroup,A,2,5,-3.449
03,youngerAgeGroup,A,2,6,7.618
03,youngerAgeGroup,A,2,7,6.167
03,youngerAgeGroup,A,2,8,2.716
03,youngerAgeGroup,A,2,9,11.32
03,youngerAgeGroup,A,2,10,7.41
03,youngerAgeGroup,A,3,1,-0.846
03,youngerAgeGroup,A,3,2,-1.787
03,youngerAgeGroup,A,3,3,1.884
03,youngerAgeGroup,A,3,4,-12.563
03,youngerAgeGroup,A,3,5,6.716
03,youngerAgeGroup,A,3,6,0.805
03,youngerAgeGroup,A,3,7,4.986
03,youngerAgeGroup,A,3,8,6.572
03,youngerAgeGroup,A,3,9,2.248
03,youngerAgeGroup,A,3,10,13.53
03,youngerAgeGroup,A,4,1,-3.482
03,youngerAgeGroup,A,4,2,1.475
03,youngerAgeGroup,A,4,3,-1.303
03,youngerAgeGroup,A,4,4,4.745
03,youngerAgeGroup,A,4,5,9.002
03,youngerAgeGroup,A,4,6,8.23
03,youngerAgeGroup,A,4,7,15.526
03,youngerAgeGroup,A,4,8,10.168
03,youngerAgeGroup,A,4,9,11.827
03,youngerAgeGroup,A,4,10,17.857
03,youngerAgeGroup,A,5,1,-13.28
03,youngerAgeGroup,A,5,2,-9.035
03,youngerAgeGroup,A,5,3,7.522
03,youngerAgeGroup,A,5,4,-2.267
